trial_number,lrate,wdecay,optimizer,clip,llm_layer,U,batch_size,loss
32,1.5816303319382786e-05,1.9841364287301996e-05,AdamW,4.905825294537492,4,3,64,27.296092987060547
33,2.611824529123459e-05,1.231585474374284e-05,AdamW,6.325667013397792,4,3,64,25.007923126220703
34,5.807642406990522e-05,7.614792313455743e-05,AdamW,7.764102144989206,4,2,64,27.03565216064453
35,0.00010916812171865346,0.0005983316830052853,Ranger,5.592678686383293,3,3,64,25.636503219604492
36,1.576861483359329e-05,4.034652064086424e-05,AdamW,3.1414831087659847,4,4,64,24.482776641845703
37,4.702769041549718e-05,7.511298988059755e-06,Adam,4.091182624040443,3,2,64,25.106409072875977
38,0.00024457042178445773,3.224466930271702e-06,Ranger,7.001674733931597,4,3,128,24.858654022216797
39,2.8067323495619395e-05,0.007218627900966025,Ranger,7.704925439902255,3,4,64,25.809837341308594
40,0.0006927187162238228,2.7817191962851398e-05,AdamW,9.178516538225898,4,2,32,27.234180450439453
41,1.1578101777766169e-05,1.177913624093195e-05,Ranger,9.969660178337545,4,2,128,25.685577392578125
42,1.263969981954571e-05,1.470445324770198e-05,Ranger,8.763240150394614,4,2,128,24.83197593688965
43,2.3960505236627828e-05,5.831230307354916e-06,Ranger,9.542832920782338,4,2,128,24.472917556762695
44,1.34204884874932e-05,6.388117967133584e-05,Ranger,9.588237306145917,1,3,128,37.400325775146484
45,2.0298513208673252e-05,1.8848727432371033e-05,Ranger,8.858758816552841,4,2,128,24.667139053344727
46,1.0419398229132888e-05,3.463371609811739e-06,Adam,7.34004680944995,3,3,128,25.65442657470703
47,3.588788673681627e-05,0.00013719809735287164,Ranger,7.945344829847973,4,3,128,25.758148193359375
48,1.0100745893930986e-05,8.878425234114128e-06,Ranger,5.099217052716201,4,1,128,26.386552810668945
49,0.0013129259183214958,5.370747792867933e-05,AdamW,6.4626296668405,3,2,32,24.648353576660156
50,5.8976203548179586e-05,2.7615349194821844e-05,Ranger,6.0047418908526975,4,3,128,25.247190475463867
51,2.4329454556679888e-05,4.756637461904617e-06,Ranger,9.456105081509529,4,2,128,25.747779846191406
52,3.3309788782482536e-05,6.146091351282178e-06,Ranger,9.822479697121217,4,2,128,24.69414520263672
53,1.4065483494152257e-05,1.0472804210609845e-05,Ranger,9.133140731157845,4,2,128,25.514389038085938
54,2.239327686132255e-05,8.322575569223466e-05,Ranger,8.908662092378892,4,2,128,26.81279754638672
